week_ending,US (S&P 500),UK (FTSE 100),Germany (DAX),France (CAC 40),Japan (Nikkei 225),Hong Kong (Hang Seng),Netherlands (AEX),Brazil (Bovespa)
2007-01-07,1409.71,6220.1,6593.09,5517.35,17091.59,20211.28,494.05,42245.0
2007-01-14,1430.73,6239.0,6705.17,5617.62,17057.01,19613.41,502.84,43095.0
2007-01-21,1430.5,6237.2,6747.17,5614.7,17310.44,20327.72,507.12,43428.0
2007-01-28,1422.18,6228.0,6690.34,5582.3,17421.93,20281.13,499.8,44412.0
2007-02-04,1448.39,6310.9,6885.76,5677.3,17547.11,20563.68,506.78,44998.0
2007-02-11,1438.06,6382.8,6911.11,5692.45,17504.33,20677.66,507.3,44284.0
2007-02-18,1455.54,6419.5,6957.07,5713.59,17875.65,20567.91,506.1,45849.0
2007-02-25,1451.19,6401.5,6992.58,5716.38,18188.42,20711.65,510.61,46016.0
2007-03-04,1387.17,6116.2,6603.32,5424.7,17217.93,19442.01,480.2,42370.0
2007-03-11,1402.84,6245.2,6716.52,5537.84,17164.04,19134.88,490.35,44133.0
2007-03-18,1386.95,6130.6,6579.87,5382.16,16744.15,18953.5,482.14,42730.0
2007-03-25,1436.11,6339.4,6899.06,5634.75,17480.61,19692.64,513.84,45533.0
2007-04-01,1420.86,6308.0,6917.03,5634.16,17287.65,19800.93,510.5,45805.0
2007-04-08,1443.76,6397.3,7099.91,5741.38,17484.78,20209.71,519.29,46647.0
2007-04-15,1452.85,6462.4,7212.07,5789.34,17363.95,20340.97,523.68,47926.0
2007-04-22,1484.35,6486.8,7342.54,5938.9,17452.62,20566.59,536.36,49408.0
2007-04-29,1494.07,6418.7,7378.12,5930.77,17400.41,20526.5,530.49,49230.0
2007-05-06,1505.62,6603.7,7516.76,6068.83,17394.92,20841.08,539.64,50598.0
2007-05-13,1505.85,6565.7,7479.34,6050.63,17553.72,20468.21,531.2,50902.0
2007-05-20,1522.75,6640.9,7607.54,6101.14,17399.58,20904.84,536.69,52078.0
2007-05-27,1515.73,6570.6,7739.2,6057.49,17481.21,20520.66,535.48,51618.0
